architecture,traffic_type,traffic_variant,trace_file,seed,x_size,y_size,block_w,block_h,dense_threshold,link_width,link_ready_policy,injection_cycles,total_cycles,offered_events_per_cycle,generated_events,delivered_events,capture_loss,transport_loss,undrained_events,total_loss,event_loss_rate,logical_packets,sparse_packets,dense_packets,events_in_sparse_packets,events_in_dense_packets,logical_bits,physical_link_beats,physical_bits,logical_bits_per_event,physical_bits_per_event,events_per_physical_beat,events_per_physical_bit,throughput_events_per_cycle,delivered_during_injection,average_latency,maximum_latency,p50_latency,p95_latency,p99_latency,link_active_cycles,link_stall_cycles,link_utilization,cycles_dense_eligible,average_dense_occupancy,minimum_dense_occupancy,maximum_dense_occupancy,dense_occ_0,dense_occ_1,dense_occ_2,dense_occ_3,dense_occ_4,dense_occ_5,dense_occ_6,dense_occ_7,dense_occ_8,dense_occ_9,dense_occ_10,dense_occ_11,dense_occ_12,dense_occ_13,dense_occ_14,dense_occ_15,dense_occ_16,baseline_payload_bits,adaptive_sparse_payload_bits,dense_payload_bits,baseline_frame_bits,adaptive_sparse_frame_bits,dense_frame_bits,baseline_physical_bits_per_packet,adaptive_sparse_physical_bits_per_packet,dense_physical_bits_per_packet,notes,result_file
adaptive_link,locality,stage4_region4x4_rate0.20,/home/hj/SCA_AER/traces/generated/stage2/locality_stage4_region4x4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,8,always,5000,5007,0.19760000,988,970,18,0,0,18,0.01821862,970,970,0,970,0,17460,2910,23280,18.000000,24.000000,0.33333333,0.0416666667,0.19372878,968,6.226804,23,5,10,16,2910,0,0.58118634,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,24,24,48,captured_events=970;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_locality_region4x4_adaptive_l8_t5_always.csv
baseline_link,uniform,stage4_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5003,0.40040000,2002,2002,0,0,0,0,0.00000000,2002,2002,0,2002,0,34034,2002,64064,17.000000,32.000000,1.00000000,0.0312500000,0.40015990,2000,3.000000,3,3,3,3,2002,0,0.40015990,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=2002;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2002;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p40_baseline_l32_t5_always.csv
adaptive_link,uniform,stage4_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5003,0.40040000,2002,2002,0,0,0,0,0.00000000,2002,2002,0,2002,0,36036,2002,64064,18.000000,32.000000,1.00000000,0.0312500000,0.40015990,2000,3.000000,3,3,3,3,2002,0,0.40015990,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=2002;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2002;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p40_adaptive_l32_t5_always.csv
baseline_link,hotspot,stage4_4x4_p80_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5003,0.40600000,2030,2030,0,0,0,0,0.00000000,2030,2030,0,2030,0,34510,2030,64960,17.000000,32.000000,1.00000000,0.0312500000,0.40575655,2028,3.000000,3,3,3,3,2030,0,0.40575655,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=2030;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2030;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_hotspot_rate0p40_baseline_l32_t5_always.csv
adaptive_link,hotspot,stage4_4x4_p80_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5003,0.40600000,2030,2030,0,0,0,0,0.00000000,2030,2030,0,2030,0,36540,2030,64960,18.000000,32.000000,1.00000000,0.0312500000,0.40575655,2028,3.000000,3,3,3,3,2030,0,0.40575655,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=2030;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2030;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_hotspot_rate0p40_adaptive_l32_t5_always.csv
baseline_link,burst,stage4_burst_rate2.0_dur500,/home/hj/SCA_AER/traces/generated/stage2/burst_stage4_burst_rate2.0_dur500_rate0p010_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5000,0.20640000,1032,645,387,0,0,387,0.37500000,645,645,0,645,0,10965,645,20640,17.000000,32.000000,1.00000000,0.0312500000,0.12900000,645,88.483721,461,55,274,353,645,0,0.12900000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=645;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1032;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_burst_rate2.0_dur500_baseline_l32_t5_always.csv
adaptive_link,burst,stage4_burst_rate2.0_dur500,/home/hj/SCA_AER/traces/generated/stage2/burst_stage4_burst_rate2.0_dur500_rate0p010_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5000,0.20640000,1032,905,127,0,0,127,0.12306202,458,348,110,348,557,11214,568,18176,12.391160,20.083978,1.59330986,0.0497909331,0.18100000,905,21.982320,116,16,62,91,568,0,0.11360000,142,5.063636,5,7,0,0,0,0,0,104,5,1,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=905;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1032;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_burst_rate2.0_dur500_adaptive_l32_t5_always.csv
baseline_link,locality,stage4_region4x4_rate0.20,/home/hj/SCA_AER/traces/generated/stage2/locality_stage4_region4x4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5003,0.19760000,988,988,0,0,0,0,0.00000000,988,988,0,988,0,16796,988,31616,17.000000,32.000000,1.00000000,0.0312500000,0.19748151,986,3.000000,3,3,3,3,988,0,0.19748151,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=988;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_locality_region4x4_baseline_l32_t5_always.csv
adaptive_link,locality,stage4_region4x4_rate0.20,/home/hj/SCA_AER/traces/generated/stage2/locality_stage4_region4x4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,32,always,5000,5003,0.19760000,988,988,0,0,0,0,0.00000000,988,988,0,988,0,17784,988,31616,18.000000,32.000000,1.00000000,0.0312500000,0.19748151,986,3.000000,3,3,3,3,988,0,0.19748151,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,64,captured_events=988;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_locality_region4x4_adaptive_l32_t5_always.csv
adaptive_link,uniform,stage4_rate0.80,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.80_rate0p800_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5027,0.80200000,4010,3779,231,0,0,231,0.05760599,2104,1288,816,1288,2491,59904,5024,80384,15.851813,21.271236,0.75218949,0.0470118432,0.75174060,3764,23.474729,213,17,65,109,5024,0,0.99940322,1626,3.052696,3,5,0,0,0,774,41,1,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=3779;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=4010;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p80_adaptive_l16_t3_always.csv
