architecture,traffic_type,traffic_variant,trace_file,seed,x_size,y_size,block_w,block_h,dense_threshold,link_width,link_ready_policy,injection_cycles,total_cycles,offered_events_per_cycle,generated_events,delivered_events,capture_loss,transport_loss,undrained_events,total_loss,event_loss_rate,logical_packets,sparse_packets,dense_packets,events_in_sparse_packets,events_in_dense_packets,logical_bits,physical_link_beats,physical_bits,logical_bits_per_event,physical_bits_per_event,events_per_physical_beat,events_per_physical_bit,throughput_events_per_cycle,delivered_during_injection,average_latency,maximum_latency,p50_latency,p95_latency,p99_latency,link_active_cycles,link_stall_cycles,link_utilization,cycles_dense_eligible,average_dense_occupancy,minimum_dense_occupancy,maximum_dense_occupancy,dense_occ_0,dense_occ_1,dense_occ_2,dense_occ_3,dense_occ_4,dense_occ_5,dense_occ_6,dense_occ_7,dense_occ_8,dense_occ_9,dense_occ_10,dense_occ_11,dense_occ_12,dense_occ_13,dense_occ_14,dense_occ_15,dense_occ_16,baseline_payload_bits,adaptive_sparse_payload_bits,dense_payload_bits,baseline_frame_bits,adaptive_sparse_frame_bits,dense_frame_bits,baseline_physical_bits_per_packet,adaptive_sparse_physical_bits_per_packet,dense_physical_bits_per_packet,notes,result_file
adaptive_link,uniform,stage4_rate0.20,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.19760000,988,988,0,0,0,0,0.00000000,988,988,0,988,0,17784,1976,31616,18.000000,32.000000,0.50000000,0.0312500000,0.19740260,986,4.297571,9,4,5,7,1976,0,0.39480519,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=988;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p20_adaptive_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.30,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.30_rate0p300_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.29680000,1484,1483,1,0,0,1,0.00067385,1483,1483,0,1483,0,26694,2966,47456,18.000000,32.000000,0.50000000,0.0312500000,0.29630370,1480,4.753203,25,4,7,10,2966,0,0.59260739,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1483;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1484;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p30_adaptive_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.40,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.40040000,2002,1998,4,0,0,4,0.00199800,1998,1998,0,1998,0,35964,3996,63936,18.000000,32.000000,0.50000000,0.0312500000,0.39920080,1996,6.069570,46,5,13,21,3996,0,0.79840160,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1998;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2002;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p40_adaptive_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.60,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.60_rate0p600_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5021,0.59440000,2972,2845,127,0,0,127,0.04273217,2050,1134,916,1134,1711,61632,5016,80256,21.663269,28.209490,0.56718501,0.0354490630,0.56662020,2833,26.207733,229,22,61,111,5016,0,0.99900418,310,1.867904,1,7,0,419,296,134,43,19,4,1,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=2845;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2972;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p60_adaptive_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.80,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.80_rate0p800_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5034,0.80200000,4010,3757,253,0,0,253,0.06309227,1698,63,1635,63,3694,74709,5031,80496,19.885281,21.425606,0.74677003,0.0466731266,0.74632499,3737,26.898057,144,27,47,51,5031,0,0.99940405,652,2.259327,1,7,0,509,538,338,174,61,11,4,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=3757;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=4010;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p80_adaptive_l16_t5_always.csv
adaptive_link,uniform,stage4_rate1.00,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate1.00_rate1p000_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5041,1.00000000,5000,4589,411,0,0,411,0.08220000,1695,47,1648,47,4542,75006,5038,80608,16.344737,17.565483,0.91087733,0.0569298333,0.91033525,4565,27.873175,129,28,48,52,5038,0,0.99940488,1786,2.756068,1,8,0,337,450,407,273,117,45,15,4,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=4589;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=5000;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate1p00_adaptive_l16_t5_always.csv
adaptive_link,uniform,stage4_rate2.00,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate2.00_rate2p000_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5042,2.00000000,10000,8379,1621,0,0,1621,0.16210000,1684,13,1671,13,8366,75429,5039,80624,9.002148,9.622151,1.66282993,0.1039268704,1.66184054,8327,29.984485,67,31,50,52,5039,0,0.99940500,4968,5.006583,1,13,0,24,105,211,341,354,303,187,99,31,12,2,1,1,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=8379;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=10000;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate2p00_adaptive_l16_t5_always.csv
adaptive_link,poisson,stage4_lambda0.20,/home/yewon/SCA_AER/traces/generated/stage2/poisson_stage4_lambda0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.20280000,1014,1013,1,0,0,1,0.00098619,1013,1013,0,1013,0,18234,2026,32416,18.000000,32.000000,0.50000000,0.0312500000,0.20260000,1013,4.561698,11,4,7,10,2026,0,0.40520000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1013;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1014;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_poisson_lambda0p20_adaptive_l16_t5_always.csv
adaptive_link,poisson,stage4_lambda0.40,/home/yewon/SCA_AER/traces/generated/stage2/poisson_stage4_lambda0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.38900000,1945,1940,5,0,0,5,0.00257069,1940,1940,0,1940,0,34920,3880,62080,18.000000,32.000000,0.50000000,0.0312500000,0.38800000,1940,7.261340,64,5,17,31,3880,0,0.77600000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1940;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1945;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_poisson_lambda0p40_adaptive_l16_t5_always.csv
adaptive_link,poisson,stage4_lambda0.80,/home/yewon/SCA_AER/traces/generated/stage2/poisson_stage4_lambda0.80_rate0p800_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5027,0.79480000,3974,3734,240,0,0,240,0.06039255,1714,119,1595,119,3615,73917,5023,80368,19.795661,21.523299,0.74338045,0.0464612781,0.74278894,3717,26.265399,132,26,47,52,5023,0,0.99920430,495,2.266458,1,6,0,496,506,353,168,56,16,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=3734;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=3974;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_poisson_lambda0p80_adaptive_l16_t5_always.csv
