architecture,traffic_type,traffic_variant,seed,x_size,y_size,block_w,block_h,dense_enter_threshold,clock_cycles_injection,clock_cycles_total,offered_events_per_cycle,generated_events,captured_events,transmitted_events,capture_loss,undrained_at_end,total_loss,event_loss_rate,successful_handshakes,cycles_per_handshake,throughput_injection_window,throughput_full_run,average_latency_cycles,maximum_latency_cycles,p95_latency_cycles,sparse_packets,dense_packets,total_logical_packets,events_in_sparse_packets,events_in_dense_packets,average_events_per_packet,average_dense_packet_occupancy,minimum_dense_packet_occupancy,maximum_dense_packet_occupancy,logical_bits_transmitted,logical_bits_per_delivered_event,sparse_packet_bits,dense_packet_bits,cycles_dense_eligible,fraction_events_sent_dense,output_req_high_cycles,output_utilization,ack_delay_cycles,notes,result_file
adaptive,uniform,rate0.80,1,16,16,4,4,5,5000,5119,0.800000,4010,3495,3495,515,0,515,0.12842893,1706,3.000586,0.69100000,0.68275054,48.800286,348,151,1261,445,1706,1261,2234,2.048652,5.020225,5,6,29075,8.319027,10,37,1324,0.63919886,1706,0.33326822,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=4010;packet_w=37,results/csv/runs/stage3/stage3_uniform_high_t5.csv
adaptive,hotspot,4x4_p80_rate0.40,1,16,16,4,4,5,5000,5017,0.400000,2030,1653,1653,377,0,377,0.18571429,1645,3.049848,0.32940000,0.32947977,14.511192,119,45,1643,2,1645,1643,10,1.004863,5.000000,5,5,16504,9.984271,10,37,7,0.00604961,1645,0.32788519,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=2030;packet_w=37,results/csv/runs/stage3/stage3_hotspot_4x4_t5.csv
adaptive,burst,burst_rate2.0_dur500,1,16,16,4,4,5,5000,5000,0.209000,1032,868,868,164,0,164,0.15891473,229,21.834061,0.17360000,0.17360000,26.510369,114,72,84,145,229,84,784,3.790393,5.406897,5,8,6205,7.148618,10,37,432,0.90322581,229,0.04580000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1032;packet_w=37,results/csv/runs/stage3/stage3_burst_rate2_dur500_t5.csv
adaptive,locality,region4x4_rate0.20,1,16,16,4,4,5,5000,5005,0.200000,988,961,961,27,0,27,0.02732794,961,5.208117,0.19180000,0.19200799,3.183143,20,7,961,0,961,961,0,1.000000,0.000000,0,0,9610,10.000000,10,37,0,0.00000000,961,0.19200799,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=988;packet_w=37,results/csv/runs/stage3/stage3_locality_4x4_t5.csv
adaptive,uniform,rate0.10,1,16,16,4,4,6,5000,5000,0.100000,487,487,487,0,0,0,0.00000000,487,10.266940,0.09740000,0.09740000,2.367556,7,4,487,0,487,487,0,1.000000,0.000000,0,0,4870,10.000000,10,37,0,0.00000000,487,0.09740000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=487;packet_w=37,results/csv/runs/stage3/stage3_uniform_low_t6.csv
adaptive,uniform,rate0.30,1,16,16,4,4,6,5000,5011,0.300000,1484,1468,1468,16,0,16,0.01078167,1468,3.413488,0.29280000,0.29295550,9.556540,163,33,1468,0,1468,1468,0,1.000000,0.000000,0,0,14680,10.000000,10,37,0,0.00000000,1468,0.29295550,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1484;packet_w=37,results/csv/runs/stage3/stage3_uniform_near_sat_t6.csv
adaptive,uniform,rate0.80,1,16,16,4,4,6,5000,5125,0.800000,4010,3261,3261,749,0,749,0.18678304,1708,3.000585,0.64280000,0.63629268,69.657467,596,212,1399,309,1708,1399,1862,1.909251,6.025890,6,7,25423,7.796075,10,37,926,0.57099049,1708,0.33326829,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=4010;packet_w=37,results/csv/runs/stage3/stage3_uniform_high_t6.csv
adaptive,hotspot,4x4_p80_rate0.40,1,16,16,4,4,6,5000,5017,0.400000,2030,1647,1647,383,0,383,0.18866995,1647,3.046145,0.32820000,0.32828383,14.815422,175,47,1647,0,1647,1647,0,1.000000,0.000000,0,0,16470,10.000000,10,37,0,0.00000000,1647,0.32828383,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=2030;packet_w=37,results/csv/runs/stage3/stage3_hotspot_4x4_t6.csv
adaptive,burst,burst_rate2.0_dur500,1,16,16,4,4,6,5000,5000,0.209000,1032,851,851,181,0,181,0.17538760,233,21.459227,0.17020000,0.17020000,30.163337,178,79,114,119,233,114,737,3.652361,6.193277,6,8,5543,6.513514,10,37,348,0.86603995,233,0.04660000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1032;packet_w=37,results/csv/runs/stage3/stage3_burst_rate2_dur500_t6.csv
adaptive,locality,region4x4_rate0.20,1,16,16,4,4,6,5000,5005,0.200000,988,961,961,27,0,27,0.02732794,961,5.208117,0.19180000,0.19200799,3.183143,20,7,961,0,961,961,0,1.000000,0.000000,0,0,9610,10.000000,10,37,0,0.00000000,961,0.19200799,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=988;packet_w=37,results/csv/runs/stage3/stage3_locality_4x4_t6.csv
adaptive,uniform,rate0.10,1,16,16,4,4,8,5000,5000,0.100000,487,487,487,0,0,0,0.00000000,487,10.266940,0.09740000,0.09740000,2.367556,7,4,487,0,487,487,0,1.000000,0.000000,0,0,4870,10.000000,10,37,0,0.00000000,487,0.09740000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=487;packet_w=37,results/csv/runs/stage3/stage3_uniform_low_t8.csv
adaptive,uniform,rate0.30,1,16,16,4,4,8,5000,5011,0.300000,1484,1468,1468,16,0,16,0.01078167,1468,3.413488,0.29280000,0.29295550,9.556540,163,33,1468,0,1468,1468,0,1.000000,0.000000,0,0,14680,10.000000,10,37,0,0.00000000,1468,0.29295550,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1484;packet_w=37,results/csv/runs/stage3/stage3_uniform_near_sat_t8.csv
adaptive,uniform,rate0.80,1,16,16,4,4,8,5000,5155,0.800000,4010,3005,3005,1005,0,1005,0.25062344,1718,3.000582,0.59060000,0.58292919,105.579368,825,319,1535,183,1718,1535,1470,1.749127,8.032787,8,9,22121,7.361398,10,37,557,0.48918469,1718,0.33326867,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=4010;packet_w=37,results/csv/runs/stage3/stage3_uniform_high_t8.csv
adaptive,hotspot,4x4_p80_rate0.40,1,16,16,4,4,8,5000,5017,0.400000,2030,1647,1647,383,0,383,0.18866995,1647,3.046145,0.32820000,0.32828383,14.815422,175,47,1647,0,1647,1647,0,1.000000,0.000000,0,0,16470,10.000000,10,37,0,0.00000000,1647,0.32828383,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=2030;packet_w=37,results/csv/runs/stage3/stage3_hotspot_4x4_t8.csv
adaptive,burst,burst_rate2.0_dur500,1,16,16,4,4,8,5000,5000,0.209000,1032,770,770,262,0,262,0.25387597,264,18.939394,0.15400000,0.15400000,50.262338,315,148,192,72,264,192,578,2.916667,8.027778,8,10,4584,5.953247,10,37,219,0.75064935,264,0.05280000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1032;packet_w=37,results/csv/runs/stage3/stage3_burst_rate2_dur500_t8.csv
adaptive,locality,region4x4_rate0.20,1,16,16,4,4,8,5000,5005,0.200000,988,961,961,27,0,27,0.02732794,961,5.208117,0.19180000,0.19200799,3.183143,20,7,961,0,961,961,0,1.000000,0.000000,0,0,9610,10.000000,10,37,0,0.00000000,961,0.19200799,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=988;packet_w=37,results/csv/runs/stage3/stage3_locality_4x4_t8.csv
